,Dataset,num of round,num of clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,200,5,0.060423403031683025,0.09516484430010301,0.16442155499842692,0.0065001493765180825,0.16683222159785563,0.026643018259737684,0.16683222159785563
1,Drebin,200,10,0.09149625023112584,0.14292181856753183,0.25214126238224926,0.008920125179374135,0.25385163103514313,0.05004270179109171,0.2538516310351431
2,Drebin,200,15,0.10425605802154093,0.16721606125608376,0.2888030049871415,0.010403663061900046,0.29005923082889196,0.05177215755722369,0.29005923082889185
3,Malgenome,200,5,0.10860649062599427,0.18270727203816578,0.3190589682361632,0.004296643684316502,0.3223148765847832,0.030886810307916242,0.32231487658478264
4,Malgenome,200,10,0.13364894375267233,0.21593721946976555,0.3965651918554872,0.004518713301847029,0.39585056521504147,0.07045760810017364,0.39585056521504147
5,Malgenome,200,15,0.14607081205006017,0.23955992351177358,0.4358320666019823,0.11341143711378417,0.43265486169647144,0.056815123467442885,0.4326548616964702
6,Kronodroid,200,5,0.017349967447188693,0.04492985417235793,0.014532008710865055,0.020184099009595367,0.01259762536155336,0.007432250563746787,0.012597625361553361
7,Kronodroid,200,10,0.018662903997760917,0.06374693085590236,0.01752239396929442,0.01745319337168157,0.019415344294214095,0.011820611688741522,0.019415344294214102
8,Kronodroid,200,15,0.05559971939302723,0.08626467236754909,0.03699817105699947,0.05645080646496383,0.0199693566443416,0.017662120265933133,0.01996935664434159
9,Tuandromd,200,5,0.06319780651822464,0.14929368750079822,0.03719619270429283,0.06103474068066897,0.029840498860402034,0.0725817689398556,0.02984049886040202
10,Tuandromd,200,10,0.06302131132773067,0.16668907431008392,0.03418801833043068,0.06981257014609693,0.009910538178204293,0.02751812645752116,0.009910538178204267
11,Tuandromd,200,15,0.0719737307626335,0.18602622134042782,0.03867074418520499,0.08183285553950172,0.013741549463792689,0.12174416216751029,0.01374154946379267
