,Dataset,num of round,num of clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,200,5,0.9711552526595766,0.09488666653633118,0.9458264689288497,0.9815550913457309,0.9399774571686222,0.9915897919316836,0.06002254283137954
1,Drebin,200,10,0.9506083776595738,0.12465240739285946,0.895499017823571,0.9793770867066587,0.8862804328223604,0.9839248660131976,0.11371956717763716
2,Drebin,200,15,0.9385322473404258,0.14116844840347767,0.8655195553195267,0.9778229570784545,0.8549864743011725,0.9818641117174771,0.14501352569882775
3,Malgenome,200,5,0.947868421052629,0.10860335827805102,0.8623956846181093,0.9910840634453055,0.85592664092664,0.9927094267064317,0.14407335907335928
4,Malgenome,200,10,0.9096578947368458,0.1849025296140462,0.7579677159695847,0.9937344691502136,0.7410810810810804,0.9788543569232198,0.25891891891891966
5,Malgenome,200,15,0.8780526315789481,0.25099330675788223,0.6694268449038299,0.9795146539361397,0.6489768339768331,0.9804592359682178,0.3510231660231664
6,Kronodroid,200,5,0.9674555285385199,0.13638809978961944,0.9693734679942804,0.970723879229063,0.9682699275362319,0.9906824146502774,0.03173007246376812
7,Kronodroid,200,10,0.9632246608651143,0.12828426800668238,0.9651688303243775,0.9683338784515861,0.9621086956521744,0.9890907409900227,0.03789130434782608
8,Kronodroid,200,15,0.9536233043255696,0.14730715796351432,0.9581527136229923,0.959837272349904,0.9588888888888892,0.9866841797301314,0.04111111111111114
9,Tuandromd,200,5,0.9571332586786095,0.10693317353725433,0.9749238033978637,0.9686804191015581,0.9838324175824166,0.9825189810189814,0.01616758241758238
10,Tuandromd,200,10,0.941338185890259,0.1538786120712757,0.966280734626561,0.9531807043919558,0.9832760989011,0.9890120296370294,0.01672390109890106
11,Tuandromd,200,15,0.9070772676371811,0.2333187060058117,0.9473931667201537,0.9179033157142293,0.9842788461538481,0.9511846070596073,0.015721153846153812
