,Dataset,num of round,num of clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,200,5,0.059964861178242505,0.09668905520755797,0.16335795948594636,0.0068217655856601675,0.16555620623213835,0.024577378821110607,0.16555620623213851
1,Drebin,200,10,0.08204962851096073,0.13717189685566136,0.22584658292664914,0.009475524307659446,0.22775124959305096,0.04154331615118352,0.22775124959305068
2,Drebin,200,15,0.10046140330705253,0.160153147545503,0.2524065057592725,0.06089074724183994,0.25501461214604404,0.037634686433971415,0.2550146121460441
3,Malgenome,200,5,0.09582172113897765,0.1680923948229172,0.27820895907497917,0.06996775978167707,0.2845242984616259,0.044097782792894315,0.28452429846162597
4,Malgenome,200,10,0.1411665693532922,0.22444103010576372,0.4213184409603046,0.07026198382327134,0.41777309580705224,0.07085251923550627,0.4177730958070529
5,Malgenome,200,15,0.14976254274282008,0.24416360395961462,0.44999986371588285,0.06113823258169035,0.4428226512539972,0.09751715522761324,0.4428226512539971
6,Kronodroid,200,5,0.014983209669830633,0.04654673166061972,0.01354677922619439,0.015966052291512406,0.014203933594161998,0.0076616649919782,0.014203933594162015
7,Kronodroid,200,10,0.038801062033077156,0.0691635773203735,0.027024867240562595,0.04085738838020536,0.01658140023562045,0.011932003929957075,0.01658140023562044
8,Kronodroid,200,15,0.03008362489029448,0.08597695646053796,0.02492442404304954,0.035306059461116014,0.019619626356509465,0.016493956643862107,0.01961962635650946
9,Tuandromd,200,5,0.0582447951609486,0.15607995439535846,0.031729356037684085,0.06338311674092391,0.009108952942787879,0.04416045995520249,0.00910895294278784
10,Tuandromd,200,10,0.09665378484552987,0.1902098740444002,0.08631120664622532,0.07964321193328068,0.0861424194067617,0.08485361860871632,0.08614241940676153
11,Tuandromd,200,15,0.11216471543317062,0.20246567491360462,0.116327045034553,0.08098542382152865,0.11766506106890903,0.07615641983709584,0.11766506106890916
