,Dataset,num of round,num of clients,global_acc,global_loss,global_f1,global_precision,global_recall,global_auc,global_fpr
0,Drebin,200,5,0.9712084441489378,0.08874062286689878,0.9461149455920109,0.9811504342492499,0.9405275022542835,0.9922161656911169,0.05947249774571683
1,Drebin,200,10,0.9561668882978716,0.11116170160472393,0.9110122490136975,0.9769899324010402,0.9037195671776356,0.9864765637649923,0.09628043282236266
2,Drebin,200,15,0.9432579787234049,0.13394244922325016,0.8869641481374078,0.9694291060623516,0.8779801623083857,0.9850415778130105,0.12201983769161416
3,Malgenome,200,5,0.9573749999999976,0.09374637275468559,0.8919289703737471,0.985265693037933,0.8847104247104238,0.990110435499655,0.11528957528957572
4,Malgenome,200,10,0.8961118421052652,0.20719272222369908,0.7176359528259411,0.9893872039595831,0.7006756756756749,0.9774680176326881,0.2993243243243239
5,Malgenome,200,15,0.8643486842105255,0.2790083196386695,0.6287552162842595,0.9894583006129571,0.6064285714285704,0.9565623193766905,0.3935714285714301
6,Kronodroid,200,5,0.9673857819298689,0.12206297218799592,0.9691781799851519,0.9716247895378397,0.9668701690821254,0.9909729727797373,0.03312983091787442
7,Kronodroid,200,10,0.9597850012797544,0.1361352651566267,0.9628995421458458,0.965090395044477,0.9619341787439619,0.9888908987032521,0.03806582125603865
8,Kronodroid,200,15,0.9586290632198613,0.1321230561286211,0.9612476191647472,0.9647142851280113,0.9584776570048317,0.9876357388566089,0.0415223429951691
9,Tuandromd,200,5,0.9542945128779394,0.11966415107250214,0.9736127167670322,0.9660167676412764,0.9841002747252721,0.986197032134532,0.01589972527472524
10,Tuandromd,200,10,0.9185946248600216,0.19365066036581993,0.9499040154954632,0.9366740938427084,0.9749381868131849,0.9714867424242416,0.025061813186813192
11,Tuandromd,200,15,0.8977995520716702,0.25374494437128303,0.9346186164293571,0.9170526252201593,0.9712019230769222,0.9622891691641687,0.02879807692307691
